team,tournament,round,side,opponent,judge,roundReport
Cornell DiBa (Absa Diop - Mia Barratt),chiraq,Round 1,Aff,George Mason WW,,"1AC---Incarcerated Workers 1NC---Court Clog DA, Shutdown DA, Uncooperative Federalism CP, T-Subsets, T-Pre-Existing, Signing Statements CP 2NC---UCF CP, 1NR---T-Subsets 2NR---UCF CP 2AR---Conditionality"
Cornell DiBa (Absa Diop - Mia Barratt),chiraq,Round 2,Neg,AFF Kansas MB,,"1AC---Revolutionary Love 1NC---T-USFG, Cap K, Afro-Pessimism K, Logistics K, Poetry K 2NC---T-USFG, Logistics K 1NR---Afro-Pessimism K 2NR---T-USFG, Logistics K"
Cornell DiBa (Absa Diop - Mia Barratt),chiraq,Round 3,Neg,Baylor DL,,"1AC---Palestine (Sumud) 1NC---T-USFG, Psychoanalysis K, Police DA, Capitalism K, Logistics K 2NR---Logistics K"
Cornell DiBa (Absa Diop - Mia Barratt),chiraq,Round 4,Aff,ASU SS,,
Cornell DyVo (Matthew Dye - April Vorontsova),Binghamton,Round 1,Neg,USMA AR,,"1AC - fed workers 1NC - t-substantially, disability k 2NR - disability K"
Cornell DyVo (Matthew Dye - April Vorontsova),Binghamton,Round 2,Aff,Bing HB,,"1AC - sectoral bargaining 1NC - oil DA on case, movements DA, UBI CP 2NR - oil DA"
Cornell DyVo (Matthew Dye - April Vorontsova),Binghamton,Round 3,Aff,George Mason NP,,1AC - sectoral bargaining 1NC - afropess 2NR - afropess
Cornell DyVo (Matthew Dye - April Vorontsova),Binghamton,Round 4,Neg,West Point GF,,"1AC - taft hartley 1NC - disability k, t-cbr, t-strengthen, politics DA 2NR - t-cbr"
Cornell DyVo (Matthew Dye - April Vorontsova),Binghamton,Round 5,Aff,GMU NB,,"1AC - sectoral bargaining 1NC - aspec, afropess 2NR - afropess"
Cornell DyVo (Matthew Dye - April Vorontsova),Binghamton,Round 6,Neg,West Point CL,,"1AC - taft hartley 1NC - 50 states CP, politics DA, disability K 2NR - 50 states CP, politics DA"
Cornell DyVo (Matthew Dye - April Vorontsova),Binghamton,Octas,Aff,West Point AR,"Ben Biggs, DavidMichael Woodward, Md Alavi Shihab","1AC - sectoral bargaining 1NC - T-strengthen (+ASPEC), States CP, Debt DA, Cities DA, Rates DA, Cap K 2NC - Realignment DA 2NR - Cap K 2AR - new DAs in block bad, case"
Cornell DyVo (Matthew Dye - April Vorontsova),Binghamton,Quarters,Neg,West Point OS,"DavidMichael Woodward, Md Alavi Shihab, Justice Wallenmeyer","1AC - Federal workers 1NC - T-substantially, Politics DA, NASA+ICE PIC, Work abolition K 2NR - Politics DA"
Cornell DyVo (Matthew Dye - April Vorontsova),Northwestern,Round 1,Neg,Gonzaga WR,,"1AC - incarcerated workers 1NC - extra-T, language procedural, disability K 2NR - disability K"
Cornell DyVo (Matthew Dye - April Vorontsova),Northwestern,Round 2,Aff,Southern California TM,,"1AC - sectoral bargaining 1NC - disclosure, Black framing K 2NR - Black framing K"
Cornell DyVo (Matthew Dye - April Vorontsova),Northwestern,Round 3,Aff,Iowa KS,,1AC - sectoral bargaining 1NC - psychopolitics 2NR - psychopolitics
Cornell DyVo (Matthew Dye - April Vorontsova),Northwestern,Round 4,Neg,Western Kentucky SS,,"1AC - agency fees 1NC - citation theory, police PIC, disability k, t-CBR 2NR - PIC"
Cornell DyVo (Matthew Dye - April Vorontsova),Rochester,Round 1,Neg,Rochester JS,Vincent Li,"1AC - afropess 1NC - T-USFG, cap K 2NR - cap K"
Cornell LiDi (Davis Liang - Absa Diop),Northwestern,Round 5,Neg,Baylor LL,Joseph Wofford,1AC---Red-Green 2NR---Antiblackness K
Cornell LiDi (Davis Liang - Absa Diop),Northwestern,Round 6,Aff,Wyoming CH,Solomon Watson,1AC---Incarcerated Workers 2NR---Labor Imperialism K
Cornell LiDi (Davis Liang - Absa Diop),please check cornell BD,All,Aff,there was an issue where we couldn't add me (Davis) as a debater,so check Cornell BD's wiki for all our stuff,thanks!!! please check team notes as well for all necessary info
