school,team,tournament,round,side,opponent,judge,roundReport
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),0 - Disclosure,All,Aff,My 9 Jobs,My Mother 😣,
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),1 - Owen L. Coon,Round 1,Aff,Kansas LS,Solomon Watson,"1AC - Sklavenmoral v1 1NC - Imperialism K, Case 2NR - Imperialism K, Case"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),1 - Owen L. Coon,Round 2,Neg,Dartmouth HP,KC Vernon,"1AC - Sectoral Bargaining 1NC - Automation DA, Offshoring DA, Affective Pessimism K v1, Major Questions Doctrine CP, T-Workers v1, Case 2NR - Automation DA, T-Workers v1"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),1 - Owen L. Coon,Round 3,Aff,Kansas SC,Viveth Karthikeyan,"1AC - Sklavenmoral v1 1NC - Productivity DA, T-USFG, MQD CP, Ban CP, T-No CBA, T-Pre-existing, Union Drift DA, Case 2NR - Ban CP, Union Drift DA, Case"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),1 - Owen L. Coon,Round 4,Neg,Cornell DL,Vincent H. Li,"1AC - Incarcerated Workers 1NC - Affective Pessimism K v1, T-Workers v1, Carceral Paradigms K v1, Case 2NR - Affective Pessimism K v1, Case"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),1 - Owen L. Coon,Round 5,Aff,Dartmouth CG,Thomas Jordan,"1AC - Sklavenmoral v1 1NC - T-USFG, Midterms DA, General Strike K, Bargaining PIC, States CP, Case 2NR - States CP, Midterms DA"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),1 - Owen L. Coon,Round 6,Neg,Southern California TM,Jazmyn Luckett,"1AC - Black Sensuality 1NC - Body as Becoming K, Case 2NR - Body as Becoming K, Case"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),1 - Owen L. Coon,Round 7,Neg,Dartmouth KR,Joseph Wofford,"1AC - Sectoral Bargaining 1NC - Automation DA, Offshoring DA, Advantage CP, Affective Pessimism K, T-Workers, Case 2NR - T-Workers"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),1 - Owen L. Coon,Round 8,Aff,Harvard KF,RW Poole,"1AC - Sklavenmoral v1 1NC - Capitalism K, Nietzsche PIK, T-USFG, Case 2NR - T-USFG, Case"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),2 - Minnesota,Round 1,Neg,Texas A&M BC,Peyton Reeves,"1AC - Mutual Aid Networks 1NC - Vita Contemplativa K v1, T-USFG, Case 2NR - Vita Contemplativa K v1"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),2 - Minnesota,Round 2,Aff,Emory AS,Subbi Namakula,"1AC - Sklavenmoral v2 1NC - T-USFG, Plan PIK, Midterms DA, Antitrust CP, States CP, Worker Centers CP, Case 2NR - Antitrust CP, Case"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),2 - Minnesota,Round 3,Neg,Western Kentucky NK,Grace McManus,"1AC - Agency Shops 1NC - Affective Pessimism v1, Associative Freedom DA, Major Question Doctrine CP, T-Workers v1 2NR - T-Workers v1"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),2 - Minnesota,Round 4,Aff,Missouri State CN,John Turner,"1AC - Sklavenmoral v2 1NC - T-USFG, Agential Fantasy K, States CP, Startup DA, OLRC CP, Case 2NR - OLRC CP"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),2 - Minnesota,Round 5,Neg,Wichita State MG,Terrell Taylor,1AC - Mythos 1NC - Case 2NR - Case
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),2 - Minnesota,Round 6,Aff,Wake Forest HN,Thomas Reese,"1AC - Sklavenmoral v2 1NC - Afropessimism K, Case 2NR - Afropessimism K, Case"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),3 - Gonzaga,Round 1,Neg,UC Berkeley RM,Jared Spiers,"1AC - Data Workers 1NC - Nietzsche K, Case 2NR - K"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),3 - Gonzaga,Round 4,Neg,Georgia CK,Tyler Snelling,"1AC - Negotiation 1NC - Transvaluation K, Case 2NR - K"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),3 - Gonzaga,Round 5,Neg,Emory TS,Ralph Anderson,"1AC - Fed Workers 1NC - Nietzsche K, Case 2NR - K"
Arizona State,Arizona State SaSm (Abhinav Saxena - Aden Smith),3 - Gonzaga,Round 7,Neg,Georgetown LN,Solomon Watson,"1AC - Fed Workers 1NC - Nietzsche K, Case 2NR - K"
Baylor,Baylor DaLa (Omar Darwish - Lorilei Lassen),Georgetown,Round 1,Neg,Berkeley LS,Jay Fuchs,"1AC - Breath of Life 1NC - Pik, T, K, Cap K 2NR - Cap K"
Baylor,Baylor DaLa (Omar Darwish - Lorilei Lassen),Georgetown,Round 4,Neg,Gonzaga WW,Flynn Makuch,"1AC - Prison Labor 1NC - T-worker, T-subset, Cbr spec, Abolition, Midterms 2NR - Abolition"
